employee_id,first_name,last_name,employee_name,department_id,department_name,division,job_role,job_level,business_travel,hire_date,termination_date,current_status,attrition_flag,tenure_years,tenure_cohort,tenure_cohort_sort,gender,age,marital_status,education_level,distance_from_home,manager_id,manager_name,monthly_income,income_pct_rank_in_role,income_quartile_in_role,income_quartile_label,pct_vs_role_average,stock_option_level,salary_hike_pct,latest_review_date,performance_rating,job_satisfaction,environment_satisfaction,work_life_balance,overtime_flag,voluntary_flag
1,Leila,Halvorsen,Leila Halvorsen,1,Sales,Go-To-Market,Sales Executive,2,Travel_Rarely,2018-01-12,2024-12-08,Terminated,1,6.9,5-10 yr,4,Female,41,Single,College,1,2056.0,Grace Krishnan,5993,0.4585,2,Q2,-13.4,0,11.0,2024-11-22,3,4,2,1,Yes,1
4,Aarav,Fitzgerald,Aarav Fitzgerald,2,Engineering,Technology,QA Engineer,1,Travel_Rarely,2024-03-12,2024-11-26,Terminated,1,0.71,0-1 yr,1,Male,37,Single,College,2,1837.0,Diego Whitfield,2090,0.0891,1,Q1 (lowest paid in role),-35.4,0,15.0,2024-11-21,3,3,4,3,Yes,1
19,Mira,Vandenberg,Mira Vandenberg,2,Engineering,Technology,QA Engineer,1,Travel_Rarely,2020-02-24,2025-01-31,Terminated,1,4.94,3-5 yr,3,Male,28,Single,Bachelor,24,575.0,Soren Bergman,2028,0.062,1,Q1 (lowest paid in role),-37.4,0,14.0,2025-01-18,3,3,3,3,Yes,1
27,Chloe,Sharma,Chloe Sharma,1,Sales,Go-To-Market,Sales Representative,1,Travel_Rarely,2020-04-25,2025-08-19,Terminated,1,5.32,5-10 yr,4,Male,36,Single,Master,9,244.0,Divya Navarro,3407,0.8902,4,Q4 (highest paid in role),29.7,0,23.0,2025-08-13,4,1,3,3,No,0
31,Divya,Rossi,Divya Rossi,2,Engineering,Technology,Software Engineer,1,Travel_Rarely,2019-12-04,2024-04-18,Terminated,1,4.37,3-5 yr,3,Male,34,Single,Below College,6,1422.0,Isabel Vandenberg,2960,0.5464,3,Q3,-8.6,0,11.0,2024-03-29,3,1,2,3,No,1
33,Freya,Quintero,Freya Quintero,2,Engineering,Technology,Software Engineer,1,Travel_Frequently,2013-07-27,2024-07-03,Terminated,1,10.93,10 yr+,5,Female,32,Single,Below College,16,901.0,Chloe Mbeki,3919,0.7595,4,Q4 (highest paid in role),21.0,0,22.0,2024-06-24,4,1,2,3,Yes,0
42,Bruno,Halvorsen,Bruno Halvorsen,1,Sales,Go-To-Market,Sales Representative,2,Travel_Rarely,2023-10-25,2025-08-14,Terminated,1,1.8,1-3 yr,2,Male,39,Married,Bachelor,5,2056.0,Grace Krishnan,2086,0.1707,1,Q1 (lowest paid in role),-20.6,1,14.0,2025-08-07,3,4,4,4,No,1
45,Bruno,Ibrahim,Bruno Ibrahim,2,Engineering,Technology,Software Engineer,1,Travel_Rarely,2021-11-17,2024-02-20,Terminated,1,2.26,1-3 yr,2,Male,24,Married,Bachelor,1,1666.0,Soren Marchetti,2293,0.1787,1,Q1 (lowest paid in role),-29.2,1,16.0,2024-02-19,3,4,2,2,Yes,1
47,Mira,Bergman,Mira Bergman,1,Sales,Go-To-Market,Sales Representative,1,Travel_Rarely,2022-01-14,2025-12-15,Terminated,1,3.92,3-5 yr,3,Male,50,Married,College,3,118.0,Anika Bergman,2683,0.5854,3,Q3,2.2,0,14.0,2025-12-02,3,3,1,3,Yes,1
55,Marcus,Rossi,Marcus Rossi,2,Engineering,Technology,QA Engineer,1,Travel_Rarely,2023-08-08,2025-04-11,Terminated,1,1.68,1-3 yr,2,Male,26,Single,Bachelor,25,661.0,Andre Nowak,2293,0.186,1,Q1 (lowest paid in role),-29.2,0,12.0,2025-04-05,3,3,1,2,No,0
