employee_id,first_name,last_name,department_id,job_role,job_level,hire_date,gender,age,marital_status,education_level,distance_from_home,business_travel,manager_id,current_status
1,Leila,Halvorsen,1,Sales Executive,2,2018-01-12,Female,41,Single,College,1,Travel_Rarely,2056,Terminated
2,Rahul,Larsen,2,Software Engineer,2,2015-03-21,Male,49,Married,Below College,8,Travel_Frequently,638,Active
4,Aarav,Fitzgerald,2,QA Engineer,1,2024-03-12,Male,37,Single,College,2,Travel_Rarely,1837,Terminated
5,Mei,Castellanos,2,Software Engineer,1,2017-02-16,Female,33,Married,Master,3,Travel_Frequently,730,Active
7,Grace,Simonsen,2,QA Engineer,1,2023-06-15,Male,27,Married,Below College,2,Travel_Rarely,1523,Active
8,Isabel,Silva,2,QA Engineer,1,2018-08-12,Male,32,Single,College,2,Travel_Frequently,901,Active
10,Ethan,Marchetti,2,QA Engineer,1,2024-12-02,Female,59,Married,Bachelor,3,Travel_Rarely,1608,Active
11,Viktor,Andersen,2,QA Engineer,1,2024-10-13,Male,30,Divorced,Below College,24,Travel_Rarely,1317,Active
12,Sanne,Dubois,5,Operations Director,3,2016-06-23,Male,38,Single,Bachelor,23,Travel_Frequently,1367,Active
13,Zara,Haddad,6,Support Representative,2,2018-04-17,Male,36,Married,Bachelor,27,Travel_Rarely,119,Active
14,Leila,Halvorsen,2,QA Engineer,1,2020-07-10,Male,35,Married,Bachelor,16,Travel_Rarely,1250,Active
15,Mira,Eriksen,2,QA Engineer,2,2016-10-14,Female,29,Single,College,15,Travel_Rarely,1608,Active
16,Felix,Nakamura,2,Software Engineer,1,2020-02-27,Male,31,Divorced,Below College,26,Travel_Rarely,815,Active
18,Zara,Petrov,2,QA Engineer,1,2023-08-23,Male,34,Divorced,College,19,Travel_Rarely,1422,Active
19,Mira,Vandenberg,2,QA Engineer,1,2020-02-24,Male,28,Single,Bachelor,24,Travel_Rarely,575,Terminated
20,Andre,Andersen,5,Operations Director,3,2015-12-20,Female,29,Divorced,Master,21,Travel_Rarely,1005,Active
21,Divya,Lombardi,2,Software Engineer,1,2019-06-28,Male,32,Divorced,College,5,Travel_Rarely,901,Active
22,Elena,Whitfield,2,QA Engineer,1,2024-11-22,Male,22,Divorced,College,16,Non-Travel,468,Active
23,Marcus,Ferreira,4,Finance Manager,4,2000-07-24,Female,53,Married,Master,2,Travel_Rarely,374,Active
24,Yuki,Castellanos,2,Software Engineer,1,2022-11-22,Male,38,Single,Bachelor,2,Travel_Rarely,1128,Active
26,Andre,Navarro,5,Operations Director,2,2021-09-06,Female,24,Divorced,College,11,Non-Travel,1360,Active
27,Chloe,Sharma,1,Sales Representative,1,2020-04-25,Male,36,Single,Master,9,Travel_Rarely,244,Terminated
28,Divya,Krishnan,2,Engineering Director,3,2013-07-10,Female,34,Single,Master,7,Travel_Rarely,396,Active
30,Lena,Aoki,2,Software Engineer,1,2025-08-26,Male,21,Single,College,15,Travel_Rarely,1485,Active
31,Divya,Rossi,2,Software Engineer,1,2019-12-04,Male,34,Single,Below College,6,Travel_Rarely,1422,Terminated
32,Freya,Okafor,4,Finance Manager,5,2011-02-05,Female,53,Divorced,Bachelor,5,Travel_Rarely,140,Active
33,Freya,Quintero,2,Software Engineer,1,2013-07-27,Female,32,Single,Below College,16,Travel_Frequently,901,Terminated
35,Zara,Bakker,1,Sales Executive,2,2016-11-13,Male,42,Married,Master,8,Travel_Rarely,1975,Active
36,Felix,Lindqvist,6,Support Representative,3,2003-05-18,Female,44,Married,Master,7,Travel_Rarely,1606,Active
38,Samir,Lombardi,4,Finance Manager,5,2023-03-12,Female,46,Single,Master,2,Travel_Rarely,140,Active
39,Sanne,Reyes,2,QA Engineer,1,2024-10-08,Male,33,Single,Bachelor,2,Travel_Rarely,730,Active
40,Peter,Moreau,6,Support Representative,2,2021-11-20,Male,44,Married,Master,10,Travel_Rarely,1661,Active
41,Leila,Bianchi,2,QA Engineer,1,2015-04-14,Male,30,Single,College,9,Travel_Rarely,1317,Active
42,Bruno,Halvorsen,1,Sales Representative,2,2023-10-25,Male,39,Married,Bachelor,5,Travel_Rarely,2056,Terminated
45,Bruno,Ibrahim,2,Software Engineer,1,2021-11-17,Male,24,Married,Bachelor,1,Travel_Rarely,1666,Terminated
46,Camila,Andersen,2,Software Engineer,1,2020-08-13,Female,43,Divorced,College,2,Travel_Rarely,999,Active
47,Mira,Bergman,1,Sales Representative,1,2022-01-14,Male,50,Married,College,3,Travel_Rarely,118,Terminated
49,Chloe,Vandenberg,1,Sales Representative,1,2023-08-18,Female,35,Married,Bachelor,2,Travel_Rarely,244,Active
51,Yuki,Fitzgerald,2,Software Engineer,1,2024-01-24,Female,36,Married,Master,5,Travel_Rarely,1424,Active
